Center,Left,Right,Steering,Throttle,Brake,Speed
F:\Car_data\IMG\center_2020_02_10_23_27_04_968.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_04_968.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_04_968.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_05_038.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_038.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_038.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_05_104.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_104.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_104.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_05_175.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_175.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_175.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_05_248.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_248.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_248.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_05_318.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_318.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_318.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_27_05_386.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_386.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_386.jpg,-0.05,1,0,30.1897
F:\Car_data\IMG\center_2020_02_10_23_27_05_453.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_453.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_453.jpg,-0.25,1,0,30.17473
F:\Car_data\IMG\center_2020_02_10_23_27_05_521.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_521.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_521.jpg,0,1,0,30.1829
F:\Car_data\IMG\center_2020_02_10_23_27_05_588.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_588.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_588.jpg,0,1,0,30.18952
F:\Car_data\IMG\center_2020_02_10_23_27_05_663.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_663.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_663.jpg,0,1,0,30.1901
F:\Car_data\IMG\center_2020_02_10_23_27_05_738.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_738.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_738.jpg,0,1,0,30.19025
F:\Car_data\IMG\center_2020_02_10_23_27_05_808.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_808.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_808.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_05_878.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_878.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_878.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_05_945.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_05_945.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_05_945.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_06_014.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_014.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_014.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_06_086.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_086.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_086.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_06_157.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_157.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_157.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_06_225.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_225.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_225.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_06_294.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_294.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_294.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_06_368.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_368.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_368.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_06_438.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_438.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_438.jpg,0,1,0,30.19034
F:\Car_data\IMG\center_2020_02_10_23_27_06_512.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_512.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_512.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_06_580.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_580.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_580.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_06_664.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_664.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_664.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_06_736.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_736.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_736.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_06_808.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_808.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_808.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_06_882.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_882.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_882.jpg,-0.15,1,0,30.18421
F:\Car_data\IMG\center_2020_02_10_23_27_06_952.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_06_952.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_06_952.jpg,0,1,0,30.19104
F:\Car_data\IMG\center_2020_02_10_23_27_07_023.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_023.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_023.jpg,0,1,0,30.18997
F:\Car_data\IMG\center_2020_02_10_23_27_07_093.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_093.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_093.jpg,0,1,0,30.19025
F:\Car_data\IMG\center_2020_02_10_23_27_07_162.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_162.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_162.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_07_232.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_232.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_232.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_07_301.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_301.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_301.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_07_369.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_369.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_369.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_07_436.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_436.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_436.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_07_507.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_507.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_507.jpg,0,1,0,30.19046
F:\Car_data\IMG\center_2020_02_10_23_27_07_582.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_582.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_582.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_07_652.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_652.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_652.jpg,0,1,0,30.19034
F:\Car_data\IMG\center_2020_02_10_23_27_07_723.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_723.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_723.jpg,0,1,0,30.19055
F:\Car_data\IMG\center_2020_02_10_23_27_07_791.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_791.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_791.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_07_863.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_863.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_863.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_07_938.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_07_938.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_07_938.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_27_08_011.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_011.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_011.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_08_082.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_082.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_082.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_08_153.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_153.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_153.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_08_221.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_221.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_221.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_08_293.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_293.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_293.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_08_361.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_361.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_361.jpg,-0.1,1,0,30.18766
F:\Car_data\IMG\center_2020_02_10_23_27_08_431.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_431.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_431.jpg,-0.3,1,0,30.16922
F:\Car_data\IMG\center_2020_02_10_23_27_08_499.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_499.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_499.jpg,0,1,0,30.18883
F:\Car_data\IMG\center_2020_02_10_23_27_08_567.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_567.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_567.jpg,0,1,0,30.19
F:\Car_data\IMG\center_2020_02_10_23_27_08_636.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_636.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_636.jpg,0,1,0,30.19024
F:\Car_data\IMG\center_2020_02_10_23_27_08_704.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_704.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_704.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_08_773.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_773.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_773.jpg,0,1,0,30.19059
F:\Car_data\IMG\center_2020_02_10_23_27_08_841.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_841.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_841.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_08_911.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_911.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_911.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_27_08_979.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_08_979.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_08_979.jpg,0,1,0,30.19021
F:\Car_data\IMG\center_2020_02_10_23_27_09_049.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_049.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_049.jpg,-0.15,1,0,30.18431
F:\Car_data\IMG\center_2020_02_10_23_27_09_118.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_118.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_118.jpg,0,1,0,30.18459
F:\Car_data\IMG\center_2020_02_10_23_27_09_192.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_192.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_192.jpg,0,1,0,30.18981
F:\Car_data\IMG\center_2020_02_10_23_27_09_266.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_266.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_266.jpg,0,1,0,30.19014
F:\Car_data\IMG\center_2020_02_10_23_27_09_341.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_341.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_341.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_09_413.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_413.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_413.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_09_483.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_483.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_483.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_09_554.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_554.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_554.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_09_623.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_623.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_623.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_09_693.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_693.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_693.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_09_763.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_763.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_763.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_09_834.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_834.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_834.jpg,-0.05,1,0,30.18972
F:\Car_data\IMG\center_2020_02_10_23_27_09_902.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_902.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_902.jpg,-0.2,1,0,30.17977
F:\Car_data\IMG\center_2020_02_10_23_27_09_975.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_09_975.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_09_975.jpg,0,1,0,30.18923
F:\Car_data\IMG\center_2020_02_10_23_27_10_043.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_043.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_043.jpg,0,1,0,30.19014
F:\Car_data\IMG\center_2020_02_10_23_27_10_116.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_116.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_116.jpg,0,1,0,30.19024
F:\Car_data\IMG\center_2020_02_10_23_27_10_188.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_188.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_188.jpg,0,1,0,30.19023
F:\Car_data\IMG\center_2020_02_10_23_27_10_262.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_262.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_262.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_10_330.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_330.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_330.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_10_405.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_405.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_405.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_27_10_475.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_475.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_475.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_27_10_541.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_541.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_541.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_10_615.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_615.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_615.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_10_687.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_687.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_687.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_10_762.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_762.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_762.jpg,-0.2,1,0,30.17977
F:\Car_data\IMG\center_2020_02_10_23_27_10_837.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_837.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_837.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_10_909.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_909.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_909.jpg,0,1,0,30.19025
F:\Car_data\IMG\center_2020_02_10_23_27_10_983.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_10_983.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_10_983.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_11_057.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_057.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_057.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_11_130.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_130.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_130.jpg,0,1,0,30.19034
F:\Car_data\IMG\center_2020_02_10_23_27_11_205.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_205.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_205.jpg,-0.05,1,0,30.18955
F:\Car_data\IMG\center_2020_02_10_23_27_11_281.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_281.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_281.jpg,-0.25,1,0,30.17483
F:\Car_data\IMG\center_2020_02_10_23_27_11_351.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_351.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_351.jpg,0,1,0,30.19002
F:\Car_data\IMG\center_2020_02_10_23_27_11_419.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_419.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_419.jpg,0,1,0,30.18944
F:\Car_data\IMG\center_2020_02_10_23_27_11_488.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_488.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_488.jpg,0,1,0,30.19011
F:\Car_data\IMG\center_2020_02_10_23_27_11_558.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_558.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_558.jpg,0,1,0,30.19022
F:\Car_data\IMG\center_2020_02_10_23_27_11_628.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_628.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_628.jpg,0,1,0,30.19028
F:\Car_data\IMG\center_2020_02_10_23_27_11_702.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_702.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_702.jpg,-0.05,1,0,30.18981
F:\Car_data\IMG\center_2020_02_10_23_27_11_775.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_775.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_775.jpg,-0.25,1,0,30.17517
F:\Car_data\IMG\center_2020_02_10_23_27_11_845.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_845.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_845.jpg,-0.4,1,0,30.15782
F:\Car_data\IMG\center_2020_02_10_23_27_11_914.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_914.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_914.jpg,0,1,0,30.18658
F:\Car_data\IMG\center_2020_02_10_23_27_11_988.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_11_988.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_11_988.jpg,0,1,0,30.18934
F:\Car_data\IMG\center_2020_02_10_23_27_12_062.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_062.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_062.jpg,0,1,0,30.19014
F:\Car_data\IMG\center_2020_02_10_23_27_12_137.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_137.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_137.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_12_203.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_203.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_203.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_12_277.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_277.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_277.jpg,0,1,0,30.19037
F:\Car_data\IMG\center_2020_02_10_23_27_12_349.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_349.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_349.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_12_420.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_420.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_420.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_12_492.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_492.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_492.jpg,0,1,0,30.19051
F:\Car_data\IMG\center_2020_02_10_23_27_12_559.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_559.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_559.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_12_633.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_633.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_633.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_12_705.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_705.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_705.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_12_774.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_774.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_774.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_12_848.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_848.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_848.jpg,0,1,0,30.1903
F:\Car_data\IMG\center_2020_02_10_23_27_12_920.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_920.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_920.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_12_990.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_12_990.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_12_990.jpg,0,1,0,30.19031
F:\Car_data\IMG\center_2020_02_10_23_27_13_057.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_057.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_057.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_13_124.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_124.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_124.jpg,0,1,0,30.19032
F:\Car_data\IMG\center_2020_02_10_23_27_13_192.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_192.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_192.jpg,0,1,0,30.19027
F:\Car_data\IMG\center_2020_02_10_23_27_13_265.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_265.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_265.jpg,-0.1,1,0,30.18768
F:\Car_data\IMG\center_2020_02_10_23_27_13_333.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_333.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_333.jpg,-0.3,1,0,30.16965
F:\Car_data\IMG\center_2020_02_10_23_27_13_403.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_403.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_403.jpg,0,1,0,30.18876
F:\Car_data\IMG\center_2020_02_10_23_27_13_473.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_473.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_473.jpg,0,1,0,30.19008
F:\Car_data\IMG\center_2020_02_10_23_27_13_540.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_540.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_540.jpg,0,1,0,30.1904
F:\Car_data\IMG\center_2020_02_10_23_27_13_613.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_613.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_613.jpg,0,1,0,30.19029
F:\Car_data\IMG\center_2020_02_10_23_27_13_681.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_681.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_681.jpg,-0.05,1,0,30.18984
F:\Car_data\IMG\center_2020_02_10_23_27_13_748.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_748.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_748.jpg,-0.2,1,0,30.18037
F:\Car_data\IMG\center_2020_02_10_23_27_13_817.jpg,F:\Car_data\IMG\left_2020_02_10_23_27_13_817.jpg,F:\Car_data\IMG\right_2020_02_10_23_27_13_817.jpg,0,1,0,30.18932
